kundur.out
KUNDUR 4 MACHINE 12 BUS SYSTEM
                     1              2              3              4              5              6              7              8              9              10             11             12             13             14             15             16             17             18             19             20             21      
        Time(s) SPD 1[1 22.000 SPD 2[2 22.000 SPD 3[3 22.000 SPD 4[4 22.000 POWR 1[1 22.00 POWR 2[2 22.00 POWR 3[3 22.00 POWR 4[4 22.00 VOLT 1 [1 22.0 VOLT 2 [2 22.0 VOLT 3 [3 22.0 VOLT 4 [4 22.0 VOLT 5 [5 230. VOLT 6 [6 230. VOLT 7 [7 230. VOLT 8 [8 230. VOLT 9 [9 230. VOLT 10 [10 23 VOLT 11 [11 23 VOLT 12 [12 23 VREF 1[1 22.00
                            ]1             ]1             ]1             ]1            0]1            0]1            0]1            0]1            00]            00]            00]            00]            00]            00]            00]            00]            00]          0.00]          0.00]          0.00]            0]1
         -0.004              0              0              0              0        6.99978        6.99978        7.18729        6.99997        1.02999        1.00999           1.03           1.01        1.00657       0.978512       0.961767       0.951054       0.975123       0.987042        1.01141       0.951054         1.0397
          0.016              0   -9.62844E-11   -3.04056E-10   -2.02704E-10        6.99978        6.99978        7.18729        6.99997        1.02999        1.00999           1.03           1.01        1.00657       0.978512       0.961767       0.951054       0.975123       0.987042        1.01141       0.951054         1.0397
          0.036              0   -1.87984E-10   -5.93633E-10   -3.95755E-10        6.99978        6.99978        7.18729        6.99997        1.02999        1.00999           1.03           1.01        1.00657       0.978512       0.961767       0.951054       0.975123       0.987042        1.01141       0.951054         1.0397
          0.056              0   -2.79683E-10   -8.83211E-10   -5.88807E-10        6.99978        6.99978        7.18729        6.99997        1.02999        1.00999           1.03           1.01        1.00657       0.978512       0.961767       0.951054       0.975123       0.987042        1.01141       0.951054         1.0397
          0.076              0   -3.71383E-10   -1.17279E-09   -7.81859E-10        6.99978        6.99978        7.18729        6.99997        1.02999        1.00999           1.03           1.01        1.00657       0.978512       0.961767       0.951054       0.975123       0.987042        1.01141       0.951054         1.0397
      0.0959999              0   -4.63082E-10   -1.46237E-09    -9.7491E-10        6.99978        6.99978        7.18729        6.99997        1.02999        1.00999           1.03           1.01        1.00657       0.978512       0.961767       0.951054       0.975123       0.987042        1.01141       0.951054         1.0397
          0.116              0   -5.54782E-10   -1.75194E-09   -1.16796E-09        6.99978        6.99978        7.18729        6.99997        1.02999        1.00999           1.03           1.01        1.00657       0.978512       0.961767       0.951054       0.975123       0.987042        1.01141       0.951054         1.0397
          0.136              0   -6.46481E-10   -2.04152E-09   -1.36101E-09        6.99978        6.99978        7.18729        6.99997        1.02999        1.00999           1.03           1.01        1.00657       0.978512       0.961767       0.951054       0.975123       0.987042        1.01141       0.951054         1.0397
          0.156              0    -7.3818E-10    -2.3311E-09   -1.55406E-09        6.99978        6.99978        7.18729        6.99997        1.02999        1.00999           1.03           1.01        1.00657       0.978512       0.961767       0.951054       0.975123       0.987042        1.01141       0.951054         1.0397
          0.176              0    -8.2988E-10   -2.62067E-09   -1.74711E-09        6.99978        6.99978        7.18729        6.99997        1.02999        1.00999           1.03           1.01        1.00657       0.978512       0.961767       0.951054       0.975123       0.987042        1.01141       0.951054         1.0397
