ne_2.out
NEW ENGLAND TEST SYSTEM, 39 BUSES, 9 GENERATORS
CREATED BY PABLO LEDESMA PABLOLE@ING.UC3M.ES
                     1              2              3              4              5              6              7              8              9              10             11             12             13             14             15             16             17             18             19             20             21             22             23             24             25             26             27             28             29             30             31             32             33             34             35             36             37             38             39             40             41             42             43             44             45             46             47             48             49             50             51             52             53             54             55             56             57             58             59             60             61             62             63             64             65             66             67             68             69             70             71             72             73             74             75             76             77             78             79             80             81             82             83             84      
        Time(s) SPD 30[30 22.0 SPD 31[31 22.0 SPD 32[32 22.0 SPD 33[33 22.0 SPD 34[34 22.0 SPD 35[35 22.0 SPD 36[36 22.0 SPD 37[37 22.0 SPD 38[38 22.0 SPD 39[39 22.0 EFD 30[30 22.0 EFD 31[31 22.0 EFD 32[32 22.0 EFD 33[33 22.0 EFD 34[34 22.0 EFD 35[35 22.0 EFD 36[36 22.0 EFD 37[37 22.0 EFD 38[38 22.0 EFD 39[39 22.0 VOEL 30[30 22. VOEL 31[31 22. VOEL 32[32 22. VOEL 33[33 22. VOEL 34[34 22. VOEL 35[35 22. VOEL 36[36 22. VOEL 37[37 22. VOEL 38[38 22. VOEL 39[39 22. POWR 30[30 22. POWR 31[31 22. POWR 32[32 22. POWR 33[33 22. POWR 34[34 22. POWR 35[35 22. POWR 36[36 22. POWR 37[37 22. POWR 38[38 22. POWR 39[39 22. VOLT 1 [1 345. VOLT 2 [2 345. VOLT 3 [3 345. VOLT 4 [4 345. VOLT 5 [5 345. VOLT 6 [6 345. VOLT 7 [7 345. VOLT 8 [8 345. VOLT 9 [9 345. VOLT 10 [10 34 VOLT 11 [11 34 VOLT 12 [12 34 VOLT 13 [13 34 VOLT 14 [14 34 VOLT 15 [15 34 VOLT 16 [16 34 VOLT 17 [17 34 VOLT 18 [18 34 VOLT 19 [19 34 VOLT 20 [20 34 VOLT 21 [21 34 VOLT 22 [22 34 VOLT 23 [23 34 VOLT 24 [24 34 VOLT 25 [25 34 VOLT 26 [26 34 VOLT 27 [27 34 VOLT 28 [28 34 VOLT 29 [29 34 VOLT 30 [30 22 VOLT 31 [31 22 VOLT 32 [32 22 VOLT 33 [33 22 VOLT 34 [34 22 VOLT 35 [35 22 VOLT 36 [36 22 VOLT 37 [37 22 VOLT 38 [38 22 VOLT 39 [39 22 PMECH FOR ALL  PELEC FOR ALL  PACCL FOR ALL  PLOAD FOR ALL  PE-PL FOR ALL 
                          00]1           00]1           00]1           00]1           00]1           00]1           00]1           00]1           00]1           00]1           00]1           00]1           00]1           00]1           00]1           00]1           00]1           00]1           00]1           00]1          000]1          000]1          000]1          000]1          000]1          000]1          000]1          000]1          000]1          000]1          000]1          000]1          000]1          000]1          000]1          000]1          000]1          000]1          000]1          000]1            00]            00]            00]            00]            00]            00]            00]            00]            00]          5.00]          5.00]          5.00]          5.00]          5.00]          5.00]          5.00]          5.00]          5.00]          5.00]          5.00]          5.00]          5.00]          5.00]          5.00]          5.00]          5.00]          5.00]          5.00]          5.00]          .000]          .000]          .000]          .000]          .000]          .000]          .000]          .000]          .000]          .000]          BUSES          BUSES          BUSES          BUSES          BUSES
          -0.01              0              0              0              0              0              0              0              0              0              0        1.17902        2.76792        1.94934        2.13566        4.01048         2.2595        2.07928        1.82143        2.10302        1.04366              0              0              0              0              0              0              0              0              0              0            2.5         5.7293            6.5           6.32           5.08            6.5            5.6            5.4            8.3        10.0101        1.04195        1.04297        1.02721        1.03025        1.04924        1.05069        1.03816        1.03595        1.04085        1.03805        1.04095        1.02451        1.03293        1.02388       0.990264       0.990507        1.00333        1.01112        1.00362       0.937917       0.993632         1.0171        1.01535       0.997236         1.0378         1.0281        1.01081        1.03232        1.02978        1.04183        1.01598       0.978069       0.963099       0.949589        1.02003        1.05642        1.00839        1.00466        1.02377        5833.59        5850.79       -17.2012         5805.6        45.1924
           0.04   -9.31323E-11   -5.16377E-10   -2.18523E-09   -1.64121E-09   -2.29249E-10    8.99208E-10    -5.9266E-10   -2.57551E-09   -4.53514E-10   -1.04308E-09        1.17902        2.76792        1.94934        2.13566        4.01048         2.2595        2.07928        1.82143        2.10302        1.04366              0              0              0              0              0              0              0              0              0              0            2.5         5.7293            6.5           6.32           5.08            6.5            5.6            5.4            8.3        10.0101        1.04195        1.04297        1.02721        1.03025        1.04924        1.05069        1.03816        1.03595        1.04085        1.03805        1.04095        1.02451        1.03293        1.02388       0.990264       0.990507        1.00333        1.01112        1.00362       0.937917       0.993632         1.0171        1.01535       0.997236         1.0378         1.0281        1.01081        1.03232        1.02978        1.04183        1.01598       0.978069       0.963099       0.949589        1.02003        1.05642        1.00839        1.00466        1.02377        5833.59        5850.79       -17.2012         5805.6        45.1924
           0.09    -1.8183E-10   -1.00816E-09   -4.26639E-09   -3.20427E-09   -2.29249E-10     1.7556E-09    -1.1571E-09   -5.02838E-09   -8.85431E-10   -6.95884E-09        1.17902        2.76792        1.94934        2.13566        4.01048         2.2595        2.07928        1.82143        2.10302        1.04366              0              0              0              0              0              0              0              0              0              0            2.5         5.7293            6.5           6.32           5.08            6.5            5.6            5.4            8.3        10.0101        1.04195        1.04297        1.02721        1.03025        1.04924        1.05069        1.03816        1.03595        1.04085        1.03805        1.04095        1.02451        1.03293        1.02388       0.990264       0.990507        1.00333        1.01112        1.00362       0.937917       0.993632         1.0171        1.01535       0.997236         1.0378         1.0281        1.01081        1.03232        1.02978        1.04183        1.01598       0.978069       0.963099       0.949589        1.02003        1.05642        1.00839        1.00466        1.02377        5833.59        5850.79       -17.2012         5805.6        45.1924
           0.14   -5.89838E-10   -3.17203E-09   -6.65974E-09   -4.76733E-09   -1.31818E-09    2.61198E-09   -1.72153E-09   -7.87983E-09   -2.15959E-09   -2.15858E-08        1.17902        2.76792        1.94934        2.13566        4.01048         2.2595        2.07928        1.82143        2.10302        1.04366              0              0              0              0              0              0              0              0              0              0            2.5         5.7293            6.5           6.32           5.08            6.5            5.6            5.4            8.3        10.0101        1.04195        1.04297        1.02721        1.03025        1.04924        1.05069        1.03816        1.03595        1.04085        1.03805        1.04095        1.02451        1.03293        1.02388       0.990264       0.990507        1.00333        1.01112        1.00362       0.937917       0.993632         1.0171        1.01535       0.997236         1.0378         1.0281        1.01081        1.03232        1.02978        1.04183        1.01598       0.978069       0.963099       0.949589        1.02003        1.05642        1.00839        1.00466        1.02377        5833.59        5850.79       -17.2012         5805.6        45.1924
           0.19   -2.16865E-09   -6.78667E-09   -9.71905E-09   -6.87746E-09   -2.46442E-09    2.35507E-09   -2.28597E-09   -1.21723E-08   -3.88726E-09   -4.80801E-08        1.17902        2.76792        1.94934        2.13566        4.01048         2.2595        2.07928        1.82143        2.10302        1.04366              0              0              0              0              0              0              0              0              0              0            2.5         5.7293            6.5           6.32           5.08            6.5            5.6            5.4            8.3        10.0101        1.04195        1.04297        1.02721        1.03025        1.04924        1.05069        1.03816        1.03595        1.04085        1.03805        1.04095        1.02451        1.03293        1.02388       0.990264       0.990507        1.00333        1.01112        1.00362       0.937917       0.993632         1.0171        1.01535       0.997236         1.0378         1.0281        1.01081        1.03232        1.02978        1.04183        1.01598       0.978069       0.963099       0.949589        1.02003        1.05642        1.00839        1.00466        1.02377        5833.59        5850.79       -17.2012         5805.6        45.1924
           0.24   -6.31082E-09   -1.33029E-08   -1.38606E-08   -9.95148E-09   -4.81422E-09    1.45586E-09   -3.69707E-09   -1.85805E-08   -6.54355E-09   -8.88407E-08        1.17902        2.76792        1.94934        2.13566        4.01048         2.2595        2.07928        1.82143        2.10302        1.04366              0              0              0              0              0              0              0              0              0              0        2.50001         5.7293            6.5        6.32001           5.08            6.5            5.6            5.4            8.3        10.0101        1.04195        1.04297        1.02721        1.03025        1.04924        1.05069        1.03816        1.03595        1.04085        1.03805        1.04095        1.02451        1.03293        1.02388       0.990264       0.990507        1.00333        1.01112        1.00362       0.937917       0.993632         1.0171        1.01535       0.997236         1.0378         1.0281        1.01081        1.03232        1.02978        1.04183        1.01598       0.978069       0.963099       0.949589        1.02003        1.05642        1.00839        1.00466        1.02377        5833.59        5850.79       -17.2012         5805.6        45.1924
           0.29   -1.49588E-08   -2.27698E-08    -1.9896E-08   -1.46407E-08   -6.99208E-09   -4.71014E-10    -6.5757E-09   -2.86372E-08   -1.02796E-08   -1.45677E-07        1.17902        2.76792        1.94934        2.13566        4.01048         2.2595        2.07928        1.82143        2.10302        1.04366              0              0              0              0              0              0              0              0              0              0        2.50002        5.72931        6.50001        6.32001           5.08            6.5        5.60001        5.40001            8.3          10.01        1.04195        1.04297        1.02721        1.03025        1.04924        1.05069        1.03816        1.03595        1.04085        1.03805        1.04095        1.02451        1.03293        1.02388       0.990264       0.990507        1.00333        1.01112        1.00362       0.937917       0.993632         1.0171        1.01535       0.997236         1.0378         1.0281        1.01081        1.03232        1.02978        1.04183        1.01598       0.978069       0.963099       0.949589        1.02003        1.05642        1.00839        1.00466        1.02377        5833.59        5850.79       -17.2012         5805.6        45.1924
           0.34    -2.8973E-08   -3.45727E-08   -3.09053E-08   -2.18828E-08   -9.80038E-09   -4.28194E-09   -1.32925E-08   -4.39983E-08   -1.60241E-08   -2.19795E-07        1.17902        2.76792        1.94934        2.13566        4.01048         2.2595        2.07928        1.82143        2.10302        1.04366              0              0              0              0              0              0              0              0              0              0        2.50003        5.72931        6.50002        6.32001           5.08        6.50001        5.60001        5.40001        8.30001          10.01        1.04195        1.04297        1.02721        1.03025        1.04924        1.05069        1.03816        1.03595        1.04085        1.03805        1.04095        1.02451        1.03293        1.02388       0.990264       0.990507        1.00333        1.01112        1.00362       0.937917       0.993632         1.0171        1.01535       0.997236         1.0378         1.0281        1.01081        1.03232        1.02978        1.04183        1.01598       0.978069       0.963099       0.949589        1.02003        1.05642        1.00839        1.00466        1.02377        5833.59        5850.79       -17.2012         5805.6        45.1924
           0.39    -5.1582E-08   -5.18344E-08   -4.84496E-08    -3.4257E-08   -1.47292E-08   -1.43017E-08    -2.3396E-08   -5.89301E-08   -2.68221E-08   -3.11923E-07        1.17902        2.76792        1.94934        2.13566        4.01048         2.2595        2.07928        1.82143        2.10302        1.04366              0              0              0              0              0              0              0              0              0              0        2.50004        5.72932        6.50002        6.32002        5.08001        6.50002        5.60001        5.40001        8.30002        10.0099        1.04195        1.04297        1.02721        1.03025        1.04924        1.05069        1.03816        1.03595        1.04085        1.03805        1.04095        1.02451        1.03293        1.02388       0.990264       0.990507        1.00333        1.01112        1.00362       0.937917       0.993632         1.0171        1.01535       0.997236         1.0378         1.0281        1.01081        1.03232        1.02978        1.04183        1.01598       0.978069       0.963099       0.949589        1.02003        1.05642        1.00839        1.00466        1.02377        5833.59        5850.79       -17.2012         5805.6        45.1924
           0.44   -8.47237E-08    -7.9522E-08   -6.86369E-08   -5.10078E-08   -2.45869E-08   -3.13866E-08   -4.17402E-08   -7.78172E-08    -4.3235E-08   -4.22206E-07        1.17902        2.76792        1.94934        2.13566        4.01048         2.2595        2.07929        1.82143        2.10302        1.04366              0              0              0              0              0              0              0              0              0              0        2.50006        5.72934        6.50003        6.32002        5.08001        6.50003        5.60002        5.40002        8.30002        10.0098        1.04195        1.04297        1.02721        1.03025        1.04924        1.05069        1.03816        1.03595        1.04085        1.03805        1.04095        1.02451        1.03293        1.02388       0.990264       0.990507        1.00333        1.01112        1.00362       0.937917       0.993632         1.0171        1.01535       0.997236         1.0378         1.0281        1.01081        1.03232        1.02978        1.04183        1.01598       0.978069       0.963099       0.949589        1.02003        1.05642        1.00839        1.00466        1.02377        5833.59        5850.79       -17.2012         5805.6        45.1924
